"Producer Price Index item","Attribute","Unit","Value"
"Unprocessed foodstuffs and feedstuffs","Month-to-month August 2023 to September 2023","Percent change",-0.4
"Unprocessed foodstuffs and feedstuffs","Year-over-year September 2022 to September 2023","Percent change",-10.6
"Unprocessed foodstuffs and feedstuffs","Year-to-date avg. 2023 to avg. 2022","Percent change",-8
"Unprocessed foodstuffs and feedstuffs","Annual 2021","Percent change",25.3
"Unprocessed foodstuffs and feedstuffs","Annual 2022","Percent change",26.7
"Unprocessed foodstuffs and feedstuffs","20-year historical average","Percent change",5.5
"Unprocessed foodstuffs and feedstuffs","Lower bound of prediction interval 2023","Percent change",NA
"Unprocessed foodstuffs and feedstuffs","Mid point of prediction interval 2023","Percent change",NA
"Unprocessed foodstuffs and feedstuffs","Upper bound of prediction interval 2023","Percent change",NA
"Unprocessed foodstuffs and feedstuffs","Lower bound of prediction interval 2024","Percent change",NA
"Unprocessed foodstuffs and feedstuffs","Mid point of prediction interval 2024","Percent change",NA
"Unprocessed foodstuffs and feedstuffs","Upper bound of prediction interval 2024","Percent change",NA
"Processed foods and feeds","Month-to-month August 2023 to September 2023","Percent change",0.7
"Processed foods and feeds","Year-over-year September 2022 to September 2023","Percent change",-3.1
"Processed foods and feeds","Year-to-date avg. 2023 to avg. 2022","Percent change",-1.4
"Processed foods and feeds","Annual 2021","Percent change",12.2
"Processed foods and feeds","Annual 2022","Percent change",14
"Processed foods and feeds","20-year historical average","Percent change",4.2
"Processed foods and feeds","Lower bound of prediction interval 2023","Percent change",NA
"Processed foods and feeds","Mid point of prediction interval 2023","Percent change",NA
"Processed foods and feeds","Upper bound of prediction interval 2023","Percent change",NA
"Processed foods and feeds","Lower bound of prediction interval 2024","Percent change",NA
"Processed foods and feeds","Mid point of prediction interval 2024","Percent change",NA
"Processed foods and feeds","Upper bound of prediction interval 2024","Percent change",NA
"Finished consumer foods","Month-to-month August 2023 to September 2023","Percent change",0.5
"Finished consumer foods","Year-over-year September 2022 to September 2023","Percent change",0.1
"Finished consumer foods","Year-to-date avg. 2023 to avg. 2022","Percent change",2.1
"Finished consumer foods","Annual 2021","Percent change",6.3
"Finished consumer foods","Annual 2022","Percent change",14.2
"Finished consumer foods","20-year historical average","Percent change",3.2
"Finished consumer foods","Lower bound of prediction interval 2023","Percent change",NA
"Finished consumer foods","Mid point of prediction interval 2023","Percent change",NA
"Finished consumer foods","Upper bound of prediction interval 2023","Percent change",NA
"Finished consumer foods","Lower bound of prediction interval 2024","Percent change",NA
"Finished consumer foods","Mid point of prediction interval 2024","Percent change",NA
"Finished consumer foods","Upper bound of prediction interval 2024","Percent change",NA
"Farm-level cattle","Month-to-month August 2023 to September 2023","Percent change",-0.2
"Farm-level cattle","Year-over-year September 2022 to September 2023","Percent change",29.9
"Farm-level cattle","Year-to-date avg. 2023 to avg. 2022","Percent change",21.7
"Farm-level cattle","Annual 2021","Percent change",11.3
"Farm-level cattle","Annual 2022","Percent change",18.1
"Farm-level cattle","20-year historical average","Percent change",4.4
"Farm-level cattle","Lower bound of prediction interval 2023","Percent change",20.8
"Farm-level cattle","Mid point of prediction interval 2023","Percent change",23.8
"Farm-level cattle","Upper bound of prediction interval 2023","Percent change",27.2
"Farm-level cattle","Lower bound of prediction interval 2024","Percent change",-15.3
"Farm-level cattle","Mid point of prediction interval 2024","Percent change",4.5
"Farm-level cattle","Upper bound of prediction interval 2024","Percent change",28.7
"Wholesale beef","Month-to-month August 2023 to September 2023","Percent change",1.1
"Wholesale beef","Year-over-year September 2022 to September 2023","Percent change",21.6
"Wholesale beef","Year-to-date avg. 2023 to avg. 2022","Percent change",12.4
"Wholesale beef","Annual 2021","Percent change",25.8
"Wholesale beef","Annual 2022","Percent change",-5.2
"Wholesale beef","20-year historical average","Percent change",4.5
"Wholesale beef","Lower bound of prediction interval 2023","Percent change",8.6
"Wholesale beef","Mid point of prediction interval 2023","Percent change",12.8
"Wholesale beef","Upper bound of prediction interval 2023","Percent change",17.8
"Wholesale beef","Lower bound of prediction interval 2024","Percent change",-19.6
"Wholesale beef","Mid point of prediction interval 2024","Percent change",1.6
"Wholesale beef","Upper bound of prediction interval 2024","Percent change",29.1
"Wholesale pork","Month-to-month August 2023 to September 2023","Percent change",1.3
"Wholesale pork","Year-over-year September 2022 to September 2023","Percent change",0.2
"Wholesale pork","Year-to-date avg. 2023 to avg. 2022","Percent change",-3.8
"Wholesale pork","Annual 2021","Percent change",15.9
"Wholesale pork","Annual 2022","Percent change",-2.2
"Wholesale pork","20-year historical average","Percent change",2.7
"Wholesale pork","Lower bound of prediction interval 2023","Percent change",-5
"Wholesale pork","Mid point of prediction interval 2023","Percent change",-2.6
"Wholesale pork","Upper bound of prediction interval 2023","Percent change",0.2
"Wholesale pork","Lower bound of prediction interval 2024","Percent change",-13.8
"Wholesale pork","Mid point of prediction interval 2024","Percent change",-0.1
"Wholesale pork","Upper bound of prediction interval 2024","Percent change",15.7
"Wholesale poultry","Month-to-month August 2023 to September 2023","Percent change",6.8
"Wholesale poultry","Year-over-year September 2022 to September 2023","Percent change",-15.1
"Wholesale poultry","Year-to-date avg. 2023 to avg. 2022","Percent change",-17.1
"Wholesale poultry","Annual 2021","Percent change",20.4
"Wholesale poultry","Annual 2022","Percent change",17.3
"Wholesale poultry","20-year historical average","Percent change",3.6
"Wholesale poultry","Lower bound of prediction interval 2023","Percent change",-17.4
